DataSetId,app_name,handle,creator,trackers
178811,McDonalds Deutschland,de.mcdonalds.mcdonaldsinfoapp,McDonald's Deutschland LLC,"48,66,18,67,69,70,105,151,172,127,130,361,312,49,115"
144222,Zomato - Restaurant Finder and Food Delivery App,com.application.zomato,Zomato,"27,48,66,67,70,105,167,174,260,130,312,49"
525,PizzaPortal - Takeaway Food,pl.pizzaportalnew,Restaurant Partner Polska sp. z o.o.,"17,27,48,49"
88716,Opera Browser: Fast and Secure,com.opera.browser,Opera,"28,12,66,65,67,70,198,191,200,140,312,49,124"
130755,pizza.de | Food Delivery,de.pizza,Delivery Hero Germany GmbH,"17,27,48,66,67,70,52,105,135,49"
152987,Depop - Shop. Clothing. Sneakers. Streetwear.,com.depop,Depop,"17,27,48,66,67,69,70,52,167,49,118"
87569,Hushed Phone Number: Anonymous Texting and Calling,com.hushed.release,AffinityClick Inc.,"17,27,48,66,67,69,70,52,105,49"
2873,5miles: Buy and Sell Used Stuff Locally,com.thirdrock.fivemiles,5miles LLC,"25,27,12,66,67,70,48,65,105,167,192,412,312,49"
6371,inloyal - mobile cards wallet,com.forysta.inloyal,Forysta Ventures Limited,"27,48,174,49"
167614,Wanelo Shopping,com.wanelo.android,Wanelo,"17,27,48,66,67,70,62,105,167,49"
167639,JasminChat - Live Video Chat with Strangers,in.inno.jasmin,JasminChat Team,"12,27,66,67,69,70,333,49"
6220,Mjam.at - Order Food,at.mjam,Mjam GmbH,"17,27,26,66,67,70,48,52,105,135,206,49"
62253,Photomath: math made simple,com.microblink.photomath,"Photomath, Inc.","27,28,67,70,48,105,125,413,49"
189457,Blinkist - Nonfiction Books,com.blinkslabs.blinkist.android,Blinks Labs GmbH,"26,23,17,27,48,66,67,69,70,52,95,49"
153303,Pandora,com.pandora.android,,"40,25,56,66,61,65,67,69,70,106,207,328,312,49,209"
123904,TuneIn Radio,tunein.player,TuneIn Inc,"41,12,27,38,35,56,66,61,67,69,70,92,106,167,210,207,244,218,312,49,107"
175337,Deezer Music,deezer.android.app,Deezer Mobile,"17,25,27,66,65,67,52,7,106,312,49,194,325"
30602,Napster,com.rhapsody.napster,"Rhapsody International, Inc","17,27,66,67,69,70,135,125,167,233,312,49"
47945,SoundHound Music Search & Play,com.melodis.midomiMusicIdentifier.freemium,SoundHound Inc.,"25,27,16,35,66,67,70,48,56,65,61,105,106,133,167,218,312,49,126,209"
40670,Firefox Browser fast & private,org.mozilla.firefox,Mozilla,"28,52,221"
167858,SoundCloud - Music & Audio,com.soundcloud.android,SoundCloud,"17,3,27,56,61,67,70,52,49"
6779,SPEEDCHECK - Speed Test,org.speedspot.speedanalytics,"Internet Speed, Etrality","25,27,216,35,53,65,61,159,92,106,121,219,199,184,198,183,195,196,317,218,72,90,312,49,34,165,354,169,146,73"
41997,Minecraft Trial,com.mojang.minecrafttrialpe,Mojang,"17,26,12,66,67,70,48,49"
28020,Yahoo Mail  Organised Email,com.yahoo.mobile.client.android.mail,Yahoo,"25,65,106,320,312"
21719,Amazfit Watch,com.huami.watch.hmwatchmanager,Huami,"27,66,67,70,361,49"
94038,Careem - Car Booking App,com.careem.acma,Careem,"17,27,48,66,67,69,70,52,105,135,130,312,49"
24108,TV Time - Track What You Watch,com.tozelabs.tvshowtime,Toze Labs,"17,25,27,12,66,67,69,70,65,135,106,312,49"
181709,Tubi TV,com.tubitv,,"17,27,48,66,67,69,70,52,105,167,312,49"
23317,"Too Good To Go - fight food waste, save great food",com.app.tgtg,Too Good To Go,"27,28,12,66,67,69,70,125,49"
26736,Westwing Home & Living,de.westwing.android,Westwing Group AG,"17,26,66,67,69,70,48,52,105,49"
3899,"UC Browser Turbo - Fast Browse and download,No Ads",com.ucturbo,UCWeb Inc.,"116,361"
